Month,NEIGHBORHOOD,Total,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
february,"DOWNTOWN WEST",200,0,3,14,9,4,168,2,0
february,"EAST HARRIET",3,0,0,0,0,2,1,0,0
february,"EAST ISLES",15,0,1,0,0,0,13,1,0
february,"EAST PHILLIPS",14,0,0,2,4,3,4,1,0
february,ECCO,15,0,0,0,0,0,15,0,0
february,"ELLIOT PARK",29,0,1,1,4,6,16,1,0
february,ERICSSON,3,0,0,0,0,1,2,0,0
february,FIELD,1,0,0,0,0,0,1,0,0
february,FOLWELL,25,0,1,4,1,8,5,6,0
february,FULTON,5,0,0,0,1,2,1,1,0
february,HALE,1,0,0,0,0,1,0,0,0
february,HARRISON,12,0,0,0,2,1,5,4,0
february,HAWTHORNE,36,0,1,5,6,6,14,3,1
february,HIAWATHA,9,0,0,0,0,4,5,0,0
february,HOLLAND,13,0,0,1,0,4,6,2,0
february,HOWE,11,1,0,0,1,6,2,1,0
february,JORDAN,36,1,2,4,6,9,12,1,1
february,KEEWAYDIN,2,0,0,0,0,0,2,0,0
february,KENNY,2,0,0,0,0,2,0,0,0
february,KENWOOD,3,0,0,0,0,3,0,0,0
february,"KING FIELD",9,0,0,0,0,3,6,0,0
february,"LIND - BOHANON",16,0,1,1,0,4,7,3,0
february,"LINDEN HILLS",5,0,0,0,0,2,3,0,0
february,"LOGAN PARK",9,0,1,1,0,2,5,0,0
february,LONGFELLOW,31,0,0,0,0,10,19,2,0
february,"LORING PARK",22,0,0,2,1,4,15,0,0
february,"LOWRY HILL",6,0,0,0,0,1,5,0,0
february,"LOWRY HILL EAST",18,0,0,0,0,4,14,0,0
february,LYNDALE,27,0,0,0,0,5,19,3,0
february,LYNNHURST,1,0,0,0,0,0,1,0,0
february,"MARCY HOLMES",28,0,1,1,0,8,16,2,0
february,"MARSHALL TERRACE",3,0,0,0,0,2,0,1,0
february,MCKINLEY,7,0,0,1,1,2,1,2,0
february,"MID - CITY INDUSTRIAL",6,0,0,0,0,1,4,1,0
february,"MIDTOWN PHILLIPS",18,0,1,1,1,4,9,2,0
february,MINNEHAHA,6,0,0,1,0,2,3,0,0
february,"MORRIS PARK",1,0,1,0,0,0,0,0,0
february,"NEAR - NORTH",35,0,0,1,6,6,13,9,0
february,"NICOLLET ISLAND - EAST BANK",6,0,0,0,0,0,6,0,0
february,"NORTH LOOP",12,0,0,0,0,0,12,0,0
february,"NORTHEAST PARK",9,0,0,2,0,0,7,0,0
february,NORTHROP,8,0,0,0,1,1,5,0,1
february,PAGE,2,0,0,0,0,0,2,0,0
february,"PHILLIPS WEST",14,0,0,1,0,3,9,1,0
february,"POWDERHORN PARK",38,0,0,4,3,8,18,5,0
february,"PROSPECT PARK - EAST RIVER ROAD",24,0,1,0,1,8,9,5,0
february,REGINA,8,0,0,1,0,2,5,0,0
february,SEWARD,29,0,1,2,1,10,14,1,0
february,SHERIDAN,6,0,0,0,0,3,3,0,0
february,"SHINGLE CREEK",15,0,1,0,0,10,1,3,0
february,"ST. ANTHONY EAST",3,0,0,0,0,0,2,1,0
february,"ST. ANTHONY WEST",3,0,1,0,0,0,2,0,0
february,STANDISH,11,0,0,0,0,6,4,1,0
february,"STEVENS SQUARE - LORING HEIGHTS",14,0,0,2,0,1,10,1,0
february,"SUMNER - GLENWOOD",4,0,0,1,0,0,3,0,0
february,TANGLETOWN,3,0,0,0,1,1,1,0,0
february,"UNIVERSITY OF MINNESOTA",3,0,0,0,0,0,3,0,0
february,"VENTURA VILLAGE",26,0,2,3,2,4,11,4,0
february,VICTORY,12,0,2,2,1,0,6,1,0
february,"WAITE PARK",4,0,0,1,0,1,0,2,0
february,"WEBBER - CAMDEN",19,0,0,3,3,4,5,4,0
february,WENONAH,8,0,0,0,1,2,5,0,0
february,"WEST CALHOUN",1,0,0,0,0,0,1,0,0
february,WHITTIER,51,0,0,4,3,11,30,3,0
february,"WILLARD - HAY",20,0,0,3,5,3,5,4,0
february,WINDOM,17,0,0,1,4,3,9,0,0
february,"WINDOM PARK",12,0,0,1,2,3,6,0,0
march,ARMATAGE,5,0,0,1,1,1,2,0,0
march,"AUDUBON PARK",14,0,0,3,2,3,5,1,0
march,BANCROFT,3,0,0,0,0,1,0,2,0
march,BELTRAMI,3,0,0,0,0,0,0,3,0
march,BOTTINEAU,8,0,0,0,0,3,4,0,1
march,BRYANT,3,0,0,1,1,0,0,1,0
march,"BRYN - MAWR",10,0,0,0,0,2,8,0,0
march,"CAMDEN INDUSTRIAL",1,0,0,0,0,0,1,0,0
march,CARAG,27,0,0,5,1,7,14,0,0
march,"CEDAR - ISLES - DEAN",10,0,0,0,1,3,6,0,0
march,"CEDAR RIVERSIDE",31,0,1,4,7,2,16,1,0
march,CENTRAL,29,0,1,2,1,4,17,3,1
march,CLEVELAND,11,0,0,1,2,3,4,1,0
march,"COLUMBIA PARK",2,0,0,0,0,1,0,1,0
march,COMO,14,0,0,1,1,6,5,1,0
march,COOPER,3,0,0,0,0,2,1,0,0
march,CORCORAN,22,0,1,3,0,5,12,1,0
march,"DIAMOND LAKE",6,0,0,0,0,1,4,1,0
march,"DOWNTOWN EAST",7,0,0,0,1,1,5,0,0
march,"DOWNTOWN WEST",219,0,3,11,15,4,185,1,0
march,"EAST HARRIET",6,0,0,0,0,3,3,0,0
march,"EAST ISLES",8,0,0,0,0,0,7,0,1
march,"EAST PHILLIPS",29,1,0,7,3,4,12,2,0
march,ECCO,12,0,0,0,0,1,10,1,0
march,"ELLIOT PARK",39,0,0,4,6,6,17,6,0
march,ERICSSON,4,0,0,0,0,1,2,1,0
march,FIELD,10,0,0,0,1,4,5,0,0
march,FOLWELL,35,0,1,5,7,6,11,4,1
march,FULTON,8,0,0,1,0,0,6,1,0
march,HALE,3,0,0,0,0,1,2,0,0
march,HARRISON,18,0,0,1,4,7,4,2,0
march,HAWTHORNE,37,0,0,5,2,5,15,9,1
march,HIAWATHA,16,0,0,1,0,5,10,0,0
march,HOLLAND,17,0,0,0,4,2,9,2,0
march,HOWE,16,0,0,0,2,6,8,0,0
march,"HUMBOLDT INDUSTRIAL AREA",2,0,0,0,0,0,1,1,0
march,JORDAN,58,1,1,9,5,8,27,7,0
march,KEEWAYDIN,1,0,0,0,0,0,1,0,0
march,KENNY,1,0,0,0,0,1,0,0,0
march,KENWOOD,1,0,0,0,0,0,1,0,0
march,"KING FIELD",10,0,0,1,1,6,2,0,0
march,"LIND - BOHANON",16,0,0,0,4,3,6,3,0
march,"LINDEN HILLS",17,0,1,0,0,3,13,0,0
march,"LOGAN PARK",4,0,0,1,1,0,2,0,0
march,LONGFELLOW,35,0,0,1,2,5,26,1,0
march,"LORING PARK",30,0,0,3,3,3,20,1,0
march,"LOWRY HILL",8,0,0,0,0,0,6,2,0
march,"LOWRY HILL EAST",32,0,0,1,1,7,21,2,0
march,LYNDALE,26,0,0,5,0,6,12,3,0
march,LYNNHURST,4,0,0,1,0,1,2,0,0
march,"MARCY HOLMES",25,0,2,0,0,3,18,2,0
march,"MARSHALL TERRACE",6,0,0,0,1,0,5,0,0
march,MCKINLEY,19,0,0,2,0,5,9,3,0
march,"MID - CITY INDUSTRIAL",4,0,0,0,0,1,2,1,0
march,"MIDTOWN PHILLIPS",32,0,0,10,1,4,14,3,0
march,MINNEHAHA,6,0,0,0,0,1,4,1,0
march,"MORRIS PARK",2,0,0,0,2,0,0,0,0
march,"NEAR - NORTH",52,0,2,6,4,8,25,7,0
march,"NICOLLET ISLAND - EAST BANK",7,0,0,0,0,0,6,1,0
march,"NORTH LOOP",19,0,0,1,3,0,14,1,0
march,"NORTHEAST PARK",11,0,0,0,0,1,9,1,0
march,NORTHROP,10,0,1,0,4,4,1,0,0
march,"PHILLIPS WEST",26,0,0,4,1,3,14,4,0
march,"POWDERHORN PARK",42,0,0,11,4,7,17,3,0
march,"PROSPECT PARK - EAST RIVER ROAD",20,0,0,1,0,4,13,2,0
march,REGINA,6,0,1,0,0,3,2,0,0
march,SEWARD,29,0,0,2,0,14,11,2,0
march,SHERIDAN,5,0,0,0,0,2,3,0,0
march,"SHINGLE CREEK",7,0,0,1,0,2,3,1,0
march,"ST. ANTHONY EAST",7,0,0,1,0,1,4,1,0
march,"ST. ANTHONY WEST",2,0,1,0,0,0,1,0,0
march,STANDISH,15,0,0,0,0,8,4,3,0
march,"STEVENS SQUARE - LORING HEIGHTS",13,0,1,1,2,1,7,1,0
march,"SUMNER - GLENWOOD",3,0,0,0,0,0,3,0,0
march,TANGLETOWN,12,0,0,0,2,2,8,0,0
march,"UNIVERSITY OF MINNESOTA",6,0,0,0,0,1,5,0,0
march,"VENTURA VILLAGE",32,0,1,10,1,10,9,1,0
march,VICTORY,8,0,0,0,2,3,2,1,0
march,"WAITE PARK",6,0,0,0,0,2,4,0,0
march,"WEBBER - CAMDEN",33,0,1,8,5,8,6,5,0
march,WENONAH,12,0,1,0,1,2,8,0,0
march,"WEST CALHOUN",4,0,0,0,0,2,1,1,0
march,WHITTIER,56,0,3,5,4,5,35,2,2
march,"WILLARD - HAY",44,0,3,5,11,6,11,8,0
march,WINDOM,10,0,1,1,1,1,5,1,0
march,"WINDOM PARK",16,0,0,0,1,5,10,0,0
april,ARMATAGE,3,0,0,0,0,2,1,0,0
april,"AUDUBON PARK",6,0,1,1,0,2,1,1,0
april,BANCROFT,11,0,0,1,1,5,3,0,1
april,BELTRAMI,6,0,0,0,0,1,4,1,0
april,BOTTINEAU,10,0,0,0,0,0,9,1,0
april,BRYANT,7,0,0,2,1,1,3,0,0
april,"BRYN - MAWR",14,0,0,0,0,2,10,2,0
april,CARAG,27,0,0,2,0,5,18,2,0
april,"CEDAR - ISLES - DEAN",9,0,0,0,1,3,5,0,0
april,"CEDAR RIVERSIDE",20,0,2,3,0,2,11,2,0
april,CENTRAL,23,0,0,4,2,2,15,0,0
april,CLEVELAND,12,0,0,2,1,3,4,2,0
april,"COLUMBIA PARK",5,0,0,0,1,2,2,0,0
april,COMO,10,0,1,0,0,2,5,2,0
april,COOPER,8,0,0,2,1,2,2,1,0
april,CORCORAN,28,0,0,1,4,7,16,0,0
april,"DIAMOND LAKE",10,0,0,0,0,4,5,1,0
april,"DOWNTOWN EAST",7,0,0,0,0,1,6,0,0
april,"DOWNTOWN WEST",231,0,3,12,6,7,193,10,0
april,"EAST HARRIET",4,0,0,0,0,1,3,0,0
april,"EAST ISLES",12,0,0,1,1,3,6,1,0
april,"EAST PHILLIPS",31,0,0,9,4,5,12,1,0
april,ECCO,14,0,0,1,0,2,11,0,0
april,"ELLIOT PARK",29,0,0,1,7,4,16,1,0
april,ERICSSON,7,0,0,1,1,3,1,1,0
april,FIELD,13,0,0,0,0,10,3,0,0
april,FOLWELL,34,0,0,3,9,10,7,5,0
april,FULTON,5,0,0,0,1,2,2,0,0
april,HALE,2,0,0,0,0,0,1,1,0
april,HARRISON,12,0,0,0,1,5,2,2,2
april,HAWTHORNE,35,0,0,4,8,7,11,5,0
april,HIAWATHA,15,0,0,0,0,3,12,0,0
april,HOLLAND,25,0,2,2,3,4,10,4,0
april,HOWE,17,0,0,0,0,9,8,0,0
april,JORDAN,40,0,0,5,9,4,18,4,0
april,KEEWAYDIN,10,0,0,1,0,1,7,0,1
april,KENNY,3,0,0,0,1,1,1,0,0
april,KENWOOD,2,0,0,0,0,1,1,0,0
april,"KING FIELD",10,0,0,0,0,6,4,0,0
april,"LIND - BOHANON",29,0,0,2,6,8,10,3,0
april,"LINDEN HILLS",4,0,0,0,0,1,3,0,0
april,"LOGAN PARK",5,0,0,0,0,0,5,0,0
april,LONGFELLOW,39,2,1,1,1,7,25,2,0
april,"LORING PARK",37,0,0,2,2,3,26,4,0
april,"LOWRY HILL",12,0,0,0,0,1,11,0,0
april,"LOWRY HILL EAST",31,0,0,1,0,4,23,3,0
april,LYNDALE,31,0,1,5,5,4,15,1,0
april,"MARCY HOLMES",35,0,1,1,2,4,18,9,0
april,"MARSHALL TERRACE",6,0,0,0,0,1,4,1,0
april,MCKINLEY,22,0,0,4,0,7,8,3,0
april,"MID - CITY INDUSTRIAL",9,0,0,0,1,2,4,2,0
april,"MIDTOWN PHILLIPS",31,0,1,5,1,3,20,1,0
april,MINNEHAHA,15,0,0,1,1,1,11,1,0
april,"MORRIS PARK",2,0,0,0,0,1,1,0,0
april,"NEAR - NORTH",51,1,3,3,6,8,23,6,1
april,"NICOLLET ISLAND - EAST BANK",13,0,0,2,0,0,9,2,0
april,"NORTH LOOP",36,0,0,1,5,1,25,4,0
april,"NORTHEAST PARK",9,0,0,0,1,2,5,1,0
april,NORTHROP,5,0,0,0,0,1,4,0,0
april,PAGE,4,0,0,0,0,1,3,0,0
april,"PHILLIPS WEST",25,0,0,4,3,3,13,2,0
april,"POWDERHORN PARK",35,0,2,9,4,5,13,2,0
april,"PROSPECT PARK - EAST RIVER ROAD",26,0,0,1,0,2,10,13,0
april,REGINA,6,0,0,1,0,2,3,0,0
april,SEWARD,36,0,1,4,2,10,17,2,0
april,SHERIDAN,7,0,0,0,1,0,5,1,0
april,"SHINGLE CREEK",7,0,0,1,1,1,4,0,0
april,"ST. ANTHONY EAST",2,0,0,0,0,0,2,0,0
april,"ST. ANTHONY WEST",8,0,0,3,0,3,2,0,0
april,STANDISH,19,0,0,2,0,12,5,0,0
april,"STEVENS SQUARE - LORING HEIGHTS",12,0,0,1,3,1,7,0,0
